,證券代號,證券名稱
0,0050,元大台灣50
1,0051,元大中型100
2,0052,富邦科技
3,0053,元大電子
4,0055,元大MSCI金融
5,0056,元大高股息
6,0057,富邦摩台
7,0061,元大寶滬深
8,006203,元大MSCI台灣
9,006204,永豐臺灣加權
10,006205,富邦上証
11,006206,元大上證50
12,006207,FH滬深
13,006208,富邦台50
14,00625K,富邦上証+R
15,00631L,元大台灣50正2
16,00632R,元大台灣50反1
17,00633L,富邦上証正2
18,00634R,富邦上証反1
19,00635U,期元大S&P黃金
20,00636,國泰中國A50
21,00636K,國泰中國A50+U
22,00637L,元大滬深300正2
23,00638R,元大滬深300反1
24,00639,富邦深100
25,00640L,富邦日本正2
26,00641R,富邦日本反1
27,00642U,期元大S&P石油
28,00643,群益深証中小
29,00643K,群益深証中小+R
30,00645,富邦日本
31,00646,元大S&P500
32,00647L,元大S&P500正2
33,00648R,元大S&P500反1
34,00650L,FH香港正2
35,00651R,FH香港反1
36,00652,富邦印度
37,00653L,富邦印度正2
38,00654R,富邦印度反1
39,00655L,國泰中國A50正2
40,00656R,國泰中國A50反1
41,00657,國泰日經225
42,00657K,國泰日經225+U
43,00660,元大歐洲50
44,00661,元大日經225
45,00662,富邦NASDAQ
46,00663L,國泰臺灣加權正2
47,00664R,國泰臺灣加權反1
48,00665L,富邦恒生國企正2
49,00666R,富邦恒生國企反1
50,00668,國泰美國道瓊
51,00668K,國泰美國道瓊+U
52,00669R,國泰美國道瓊反1
53,00670L,富邦NASDAQ正2
54,00671R,富邦NASDAQ反1
55,00673R,期元大S&P原油反1
56,00674R,期元大S&P黃金反1
57,00675L,富邦臺灣加權正2
58,00676R,富邦臺灣加權反1
59,00678,群益NBI生技
60,00680L,元大美債20正2
61,00681R,元大美債20反1
62,00682U,期元大美元指數
63,00683L,期元大美元指正2
64,00684R,期元大美元指反1
65,00685L,群益臺灣加權正2
66,00686R,群益臺灣加權反1
67,00688L,國泰20年美債正2
68,00689R,國泰20年美債反1
69,00690,兆豐藍籌30
70,00692,富邦公司治理
71,00693U,期街口S&P黃豆
72,00700,富邦恒生國企
73,00701,國泰股利精選30
74,00702,國泰標普低波高息
75,00703,台新MSCI中國
76,00706L,期元大S&P日圓正2
77,00707R,期元大S&P日圓反1
78,00708L,期元大S&P黃金正2
79,00709,富邦歐洲
80,00710B,FH彭博非投等債
81,00711B,FH彭博新興債
82,00712,FH富時不動產
83,00713,元大台灣高息低波
84,00714,群益道瓊美國地產
85,00715L,期街口布蘭特正2
86,00717,富邦美國特別股
87,00728,第一金工業30
88,00730,富邦臺灣優質高息
89,00731,FH富時高息低波
90,00732,國泰RMB短期報酬
91,00733,富邦臺灣中小
92,00735,國泰臺韓科技
93,00736,國泰新興市場
94,00737,國泰AI+Robo
95,00738U,期元大道瓊白銀
96,00739,元大MSCI A股
97,00743,國泰中國A150
98,00752,中信中國50
99,00753L,中信中國50正2
100,00757,統一FANG+
